ch,pyn,py,en
最,zui4,zùi,"(the) most / -est
most / the most / -est (superlative suffix)"
重,chong2 / zhong4,zhòng,"to double / to repeat / repetition / iteration / again / a layer, heavy / serious
heavy / serious / to attach importance to"
并,bing4,bìng,"and / furthermore / (not) at all / simultaneously / also / together with / to combine / to join / to merge, amalgamate / combine, and / also / together with
variant of 並|并[bing4]"
物,wu4,wù,"thing / object / matter
thing / object / matter / abbr. for physics 物理"
手,shou3,shǒu,"hand / convenient
hand / (formal) to hold / person engaged in certain types of work / person skilled in certain types of work / personal(ly) / convenient / classifier for skill / CL:雙|双[shuang1],隻|只[zhi1]"
应,ying1 / ying4,yìng,"ought, (surname) / to answer / to respond
to answer / to respond / to comply with / to deal or cope with"
战,zhan4,zhàn,"to fight / fight / war / battle
to fight / fight / war / battle"
向,xiang4,xiàng,"direction / part / side / towards / to / guide / opposite to, guide / opposite to
variant of 向[xiang4] / direction / orientation / to face / to turn toward / to / towards / shortly before / formerly"
头,tou2 / tou,tóu,"head, suff. for nouns
suffix for nouns"
文,wen2,wén,"language / culture / writing / formal / literary
language / culture / writing / formal / literary / gentle / (old) classifier for coins / Kangxi radical 67"
体,ti3,tǐ,"body / form / style / system
body / form / style / system / substance / to experience / aspect (linguistics)"
政,zheng4,zhèng,"political / politics / government
political / politics / government"
美,mei3,měi,"America / beautiful
beautiful / very satisfactory / good / to beautify / to be pleased with oneself"
相,xiang1 / xiang4,xiāng,"each other / one another / mutually, appearance / portrait / picture
appearance / portrait / picture / government minister / (physics) phase / (literary) to appraise (esp. by scrutinizing physical features) / to read sb's fortune (by physiognomy, palmistry etc)"
见,jian4 / xian4,jiàn,"to see / to meet / to appear (to be sth) / to interview, appear
to appear / also written 現|现[xian4]"
被,bei4,bèi,"by (marker for passive-voice sentences or clauses) / quilt / blanket / to cover / to wear
quilt / by / (indicates passive-voice clauses) / (literary) to cover / to meet with"
利,li4,lì,"advantage / benefit / profit / sharp
sharp / favorable / advantage / benefit / profit / interest / to do good to / to benefit"
什,shen2 / shi2,shí,"what, tenth (used in fractions)
ten (used in fractions, writing checks etc) / assorted / miscellaneous"
二,er4,èr,"two / 2
two / 2 / (Beijing dialect) stupid"
等,deng3,děng,"class / rank / grade / equal to / same as / wait for / await / et cetera / and so on
class / rank / grade / equal to / same as / to wait for / to await / et cetera / and so on / et al. (and other authors) / after / as soon as / once"
产,chan3,chǎn,"to reproduce / to produce / give birth / products / produce / resources / estate / property
to give birth / to reproduce / to produce / product / resource / estate / property"
或,huo4,huò,"maybe / perhaps / might / possibly / or
maybe / perhaps / might / possibly / or"
新,xin1,xīn,"meso- (chem.) / new / newly
new / newly / meso- (chemistry)"
己,ji3,jǐ,"6th heavenly stem / self
self / oneself / sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1] / sixth in order / letter ""F"" or roman ""VI"" in list ""A, B, C"", or ""I, II, III"" etc / hexa"
制,zhi4,zhì,"system / to make / to manufacture / to control / to regulate, manufacture
to manufacture / to make"
身,shen1,shēn,"body / torso / person / life / status / pregnancy / (a measure word used for clothes) suit
body / life / oneself / personally / one's morality and conduct / the main part of a structure or body / pregnant / classifier for sets of clothes: suit, twinset / Kangxi radical 158"
果,guo3,guǒ,"fruit / result
variant of 果[guo3] / fruit"
加,jia1,jiā,"to add / plus
to add / plus / (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned) / to apply (restrictions etc) to (sb) / to give (support, consideration etc) to (sth)"
西,xi1,xī,"west
west"
