ch,pyn,py,en
雷,lei2,léi,"(surname) / thunder
thunder / mine (weapon) / (Internet slang) terrifying / terrific"
警,jing3,jǐng,"to alert / to warn
to alert / to warn / police"
获,huo4,huò,"to catch / to obtain / to capture, reap / harvest
to reap / to harvest"
模,mo2,mó,"imitate / model / norm / pattern
mold / die / matrix / pattern"
充,chong1,chōng,"fill / satisfy / fulfill / to act in place of / substitute / sufficient / full
to fill / to satisfy / to fulfill / to act in place of / substitute / sufficient / full"
负,fu4,fù,"lose / negative (math. etc.) / to bear / to carry (on one's back)
to bear / to carry (on one's back) / to turn one's back on / to be defeated / negative (math. etc)"
云,yun2,yún,"(classical) to say, cloud / (abbr.) for Yunnan / surname
cloud / CL:朵[duo3]"
停,ting2,tíng,"to stop / to halt
to stop / to halt / to park (a car)"
木,mu4,mù,"tree / wood
tree / wood / coffin / wooden / simple / numb / one of the eight ancient musical instruments 八音[ba1 yin1]"
游,you2,yóu,"to walk / to tour / to roam / to swim / to travel, to roam / travel
to walk / to tour / to roam / to travel"
龙,long2,lóng,"dragon / imperial / Long (a surname)
dragon / CL:條|条[tiao2] / imperial"
树,shu4,shù,"tree
tree / CL:棵[ke1] / to cultivate / to set up"
疑,yi2,yí,"to doubt / to misbelieve / to suspect
to doubt / to suspect"
层,ceng2,céng,"a measure word for layers / laminated / repeated / floor / story (of a building) / layer / (math.) sheaf
layer / stratum / laminated / floor (of a building) / storey / classifier for layers / repeated / sheaf (math.)"
冷,leng3,lěng,"cold
cold"
洲,zhou1,zhōu,"continent / island
continent / island in a river"
冲,chong1 / chong4,chōng,"to rinse / to collide / to water / to rush / to dash (against) / to wash out / to charge / highway / public road, dash against, strong / powerful / forceful / dynamic / to punch, of great force / towards
powerful / vigorous / pungent / towards / in view of"
射,she4,shè,"radio- (chem.) / shoot
to shoot / to launch / to allude to / radio- (chemistry)"
略,lue4,lvè,"plan / strategy / outline / summary / slightly / rather / to rob / to plunder / to summarize
variant of 略[lu:e4]"
范,fan4,fàn,"pattern / model / example / (surname)
surname Fan"
竟,jing4,jìng,"unexpectedly / actually / to go so far as to / indeed
unexpectedly / actually / to go so far as to / indeed"
句,ju4,jù,"(a measure word, for sentences or lines of verse) / sentence
sentence / clause / phrase / classifier for phrases or lines of verse"
室,shi4,shì,"room
room / work unit / grave / scabbard / family or clan / one of the 28 constellations of Chinese astronomy"
异,yi4,yì,"(interj.) / raise / to stop, different / unusual / strange
different / other / hetero- / unusual / strange / surprising / to distinguish / to separate / to discriminate"
激,ji1,jī,"to arouse / to incite / to excite / to stimulate / sharp / fierce / violent
to arouse / to incite / to excite / to stimulate / sharp / fierce / violent"
汉,han4,hàn,"Chinese / name of a dynasty
man"
村,cun1,cūn,"village
variant of 村[cun1]"
哈,ha1 / ha3,hā,"laughter / yawn, a Pekinese / a pug
a Pekinese / a pug / (dialect) to scold"
策,ce4,cè,"method / plan / policy / scheme
variant of 策[ce4]"
演,yan3,yǎn,"to develop / to evolve / to practice / to perform / to play / to act
to develop / to evolve / to practice / to perform / to play / to act"
简,jian3,jiǎn,"simple
simple / uncomplicated / letter / to choose / to select / bamboo strips used for writing (old)"
卡,ka3 / qia3,qiǎ,"to check / to stop / to block / card, customs station / to be choked / to fasten / to clip / to wedge / checkpost
to block / to be stuck / to be wedged / customs station / a clip / a fastener / a checkpost / Taiwan pr. [ka3]"
罪,zui4,zùi,"guilt / crime / fault / blame / sin
variant of 罪[zui4], crime"
判,pan4,pàn,"to judge / to sentence / to discriminate / to discern
to judge / to sentence / to discriminate / to discern / obviously (different)"
担,dan1 / dan4,dàn,"to undertake / to carry / to shoulder / to take responsibility, a picul (133.33 lbs.) / burden / a load / responsibility
picul (100 catties, 50 kg) / two buckets full / carrying pole and its load / classifier for loads carried on a shoulder pole"
州,zhou1,zhōu,"(United States) state / province / sub-prefecture
prefecture / (old) province / (old) administrative division / state (e.g. of US) / oblast (Russia) / canton (Switzerland)"
静,jing4,jìng,"still / calm / quiet / not moving
still / calm / quiet / not moving"
退,tui4,tùi,"retreat / to decline / to move back / to withdraw
to retreat / to decline / to move back / to withdraw"
既,ji4,jì,"already / since / both... (and...)
already / since / both... (and...)"
衣,yi1 / yi4,yī,"clothes, gown / to dress / to wear
to dress / to wear / to put on (clothes)"
您,nin2,nín,"you (formal)
you (courteous, as opposed to informal 你[ni3])"
宗,zong1,zōng,"school / sect / purpose / model / ancestor / family
school / sect / purpose / model / ancestor / clan / to take as one's model (in academic or artistic work) / classifier for batches, items, cases (medical or legal), reservoirs"
积,ji1,jī,"to amass / to accumulate / to store / old / long-standing
to amass / to accumulate / to store / measured quantity (such as area of volume) / product (the result of multiplication) / to integrate (math.) / to solve (or integrate) an ordinary differential equation (math.) / old / long-standing"
余,yu2,yú,"extra / surplus / remaining / after / I / me
extra / surplus / remaining / remainder after division / (following numerical value) or more / in excess of (some number) / residue (math.) / after / I / me"
痛,tong4,tòng,"ache / pain / sorrow
ache / pain / sorrow / deeply / thoroughly"
检,jian3,jiǎn,"to check / to examine / to inspect
to check / to examine / to inspect / to exercise restraint"
差,cha1 / cha4 / chai1 / ci1,chà,"difference / discrepancy / to differ / error / to err / to make a mistake, differ from / short of / to lack / poor, send / a messenger / a mission / to commission, uneven
to send / to commission / messenger / mission"
富,fu4,fù,"rich
rich / abundant / wealthy"
灵,ling2,líng,"alert / departed soul / efficacious / quick / effective / intelligence
quick / alert / efficacious / effective / to come true / spirit / departed soul / coffin"
协,xie2,xié,"cooperate / harmonize / to help / to assist / to join
to cooperate / to harmonize / to help / to assist / to join"
角,jiao3 / jue2,jiǎo,"angle / horn / horn-shaped, Chinese musical note / angle / horn
role (theater) / to compete / ancient three legged wine vessel / third note of pentatonic scale"
占,zhan1 / zhan4,zhān,"to observe / to divine, to divine, to occupy / to constitute / to make up / to account
to take possession of / to occupy / to take up"
配,pei4,pèi,"to join / to fit / to mate / to mix / to match / to deserve / to make up (a prescription)
to join / to fit / to mate / to mix / to match / to deserve / to make up (a prescription) / to allocate"
征,zheng1,zhēng,"attack / levy (troops or taxes) / journey / trip / expedition
to invite / to recruit / to levy (taxes) / to draft (troops) / phenomenon / symptom / characteristic sign (used as proof) / evidence"
修,xiu1,xīu,"to decorate / to embellish / to repair / to build / to study / to write / to cultivate
dried meat / private teacher's remuneration / withered / variant of 修[xiu1]"
皮,pi2,pí,"leather / skin / fur
leather / skin / fur / CL:張|张[zhang1] / pico- (one trillionth) / naughty"
挥,hui1,hūi,"scatter / wield / wipe away
to wave / to brandish / to command / to conduct / to scatter / to disperse"
胜,sheng1 / sheng4,shèng,"(also sheng4) able to do / competent enough to, peptide, victorious
victory / success / to beat / to defeat / to surpass / victorious / superior to / to get the better of / better than / surpassing / superb (of vista) / beautiful (scenery) / wonderful (view) / (Taiwan pr. [sheng1]) able to bear / equal to (a task)"
降,jiang4 / xiang2,jiàng,"to drop / to fall / to come down / to descend, surrender
to surrender / to capitulate / to subdue / to tame"
阶,jie1,jiē,"rank or step / stairs
rank or step / stairs"
审,shen3,shěn,"to examine / to investigate / carefully / to try (in court)
to examine / to investigate / carefully / to try (in court)"
沉,chen2,chén,"submerge / immerse / sink / deep / profound / to lower / to drop
to submerge / to immerse / to sink / to keep down / to lower / to drop / deep / profound / heavy"
坚,jian1,jiān,"strong / solid / firm / unyielding / resolute
strong / solid / firm / unyielding / resolute"
善,shan4,shàn,"good
good (virtuous) / benevolent / well-disposed / good at sth / to improve or perfect"
妈,ma1,mā,"ma / mamma
ma / mom / mother"
刘,liu2,líu,"(surname) / to kill
surname Liu"
读,dou4 / du2,dú,"comma / phrase marked by pause, to read / to study
to read / to study / reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]"
啊,a1 / a2 / a3 / a4 / a,a,"(interj.) / ah, an interjection / to express doubt or to question / to show realization / to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)
modal particle ending sentence, showing affirmation, approval, or consent"
超,chao1,chāo,"to exceed / overtake / surpass / transcend / ultra- / super- / to pass / to cross
to exceed / to overtake / to surpass / to transcend / to pass / to cross / ultra- / super-"
免,mian3,miǎn,"to exempt / to remove / to avoid / to excuse
old variant of 絻[wen4]"
压,ya1 / ya4,yā,"to press / to push down / to keep under (control), in the first place / to crush
see 壓根兒|压根儿[ya4 gen1 r5]"
银,yin2,yín,"silver
silver / silver-colored / relating to money or currency"
买,mai3,mǎi,"buy
to buy / to purchase"
皇,huang2,huáng,"(surname) / emperor
emperor / old variant of 惶[huang2]"
养,yang3,yǎng,"give birth / keep (pets) / to support / to bring sb. up / to raise (pig, etc.)
to raise (animals) / to bring up (children) / to keep (pets) / to support / to give birth"
伊,yi1,yī,"he / she / (surname) / Iraq (abbrev.)
he / she"
怀,huai2,huái,"to think of / to cherish / mind / heart / bosom
bosom / heart / mind / to think of / to harbor in one's mind / to conceive (a child)"
执,zhi2,zhí,"execute (a plan) / grasp
to execute (a plan) / to grasp"
副,fu4,fù,"secondary / auxiliary / deputy / assistant / vice- / (measure word for a pair)
secondary / auxiliary / deputy / assistant / vice- / abbr. for 副詞|副词 adverb / classifier for pairs, sets of things & facial expressions"
乱,luan4,luàn,"in confusion / disorderly
in confusion or disorder / in a confused state of mind / disorder / upheaval / riot / illicit sexual relations / to throw into disorder / to mix up / indiscriminate / random / arbitrary"
抗,kang4,kàng,"to resist / to fight / to defy
to resist / to fight / to defy / anti-"
犯,fan4,fàn,"to violate / to offend
to violate / to offend / to assault / criminal / crime / to make a mistake / recurrence (of mistake or sth bad)"
追,zhui1,zhūi,"pursue (a problem) / to chase
to chase after / to seek / to do one's utmost to seek or procure sth / to recall"
帮,bang1,bāng,"to assist / to support / to help / group / gang / party
to help / to assist / to support / for sb (i.e. as a help) / hired (as worker) / side (of pail, boat etc) / outer layer / upper (of a shoe) / group / gang / clique / party / secret society"
宣,xuan1,xuān,"to declare (publicly) / to announce
to declare (publicly) / to announce"
佛,fo2 / fu2,fó,"Buddha / Buddhism, seemingly
(female) head ornament / variant of 彿|佛[fu2]"
岁,sui4,sùi,"year / years old / (a measure word)
classifier for years (of age) / year / year (of crop harvests)"
航,hang2,háng,"boat / ship / vessel / craft / to navigate / to sail
boat / ship / craft / to navigate / to sail / to fly"
优,you1,yōu,"excellent / superior
excellent / superior"
怪,guai4,guài,"queer / to blame
variant of 怪[guai4]"
香,xiang1,xiāng,"fragrant / incense / (of food) savory / appetizing / sweet / scented / popular
fragrant / sweet smelling / aromatic / savory or appetizing / (to eat) with relish / (of sleep) sound / perfume or spice / joss or incense stick / CL:根[gen1]"
田,tian2,tián,"(surname) / field / farm
field / farm / CL:片[pian4]"
铁,tie3,tiě,"iron
iron (metal) / arms / weapons / hard / strong / violent / unshakeable / determined / close / tight (slang)"
控,kong4,kòng,"to accuse / to charge / to control / to sue
to control / to accuse / to charge / to sue / to invert a container to empty it / (suffix) (slang) buff / enthusiast / devotee / -phile or -philia"
税,shui4,shùi,"taxes / duties
taxes / duties"
左,zuo3,zuǒ,"left
left / the Left (politics) / east / unorthodox / queer / wrong / differing / opposite / variant of 佐[zuo3]"
右,you4,yòu,"right (-hand)
right (-hand) / the Right (politics) / west (old)"
份,fen4,fèn,"(a measure word for gifts, copies of a newspaper) / copy (of newspaper, magazine, etc.) / share / portion / part / (a measure word)
classifier for gifts, newspaper, magazine, papers, reports, contracts etc / variant of 分[fen4]"
穿,chuan1,chuān,"to bore through / pierce / perforate / penetrate / pass through / to dress / to wear / to put on / to thread
to wear / to put on / to dress / to bore through / to pierce / to perforate / to penetrate / to pass through / to thread"
艺,yi4,yì,"skill / art
skill / art"
背,bei1 / bei4,bèi,"carry on one's back, to be burdened / to carry on the back or shoulder, learn by heart / the back of the body
the back of a body or object / to turn one's back / to hide something from / to learn by heart / to recite from memory / unlucky (slang) / hard of hearing"
阵,zhen4,zhèn,"disposition of troops / short period / wave / spate / burst / spell
disposition of troops / wave / spate / burst / spell / short period of time / classifier for events or states of short duration"
草,cao3,cǎo,"grass / straw / draft (of a document) / careless / rough / manuscript / hasty
variant of 肏[cao4]"
脚,jiao3 / jue2,jiǎo,"a kick / foot / role, role
variant of 角[jue2] / role"
概,gai4,gài,"general / approximate
old variant of 概[gai4]"
恶,e3 / e4 / wu4,è,"nauseated, evil, to hate / to loathe
to hate / to loathe / ashamed / to fear / to slander"
块,kuai1 / kuai4,kuài,"piece / chunk / lump / (measure word for chunks, lumps), yuan (unit of currency) / fast (of a watch) / swift / rapid / happy / joyful / soon / quick / (a measure word, for cloth, cake, soap)
lump (of earth) / chunk / piece / classifier for pieces of cloth, cake, soap etc / (coll.) classifier for money and currency units"
顿,dun4,dùn,"a time / jerk / stop / meal / bout / spell / (measure for beating)
to stop / to pause / to arrange / to lay out / to kowtow / to stamp (one's foot) / at once / classifier for meals, beatings, scoldings etc: time, bout, spell, meal"
敢,gan3,gǎn,"dare
to dare / daring / (polite) may I venture"
守,shou3,shǒu,"to guard
to guard / to defend / to keep watch / to abide by the law / to observe (rules or ritual) / nearby / adjoining"
酒,jiu3,jǐu,"wine / liquor / spirits
wine (esp. rice wine) / liquor / spirits / alcoholic beverage / CL:杯[bei1],瓶[ping2],罐[guan4],桶[tong3],缸[gang1]"
岛,dao3,dǎo,"island
island / CL:個|个[ge4],座[zuo4]"
托,tuo1,tuō,"to hold in one's hand / to entrust / to support in one's palm, entrust
to trust / to entrust / to be entrusted with / to act as trustee"
央,yang1,yāng,"beg / center
center / end / to beg / to plead"
户,hu4,hù,"a household / door / family
a household / door / family"
烈,lie4,liè,"ardent / intense / split / crack / rend
ardent / intense / fierce / stern / upright / to give one's life for a noble cause / exploits / achievements"
洋,yang2,yáng,"foreign / ocean
ocean / vast / foreign / silver dollar or coin"
哥,ge1,gē,"elder brother
elder brother"
索,suo3,suǒ,"to search / to demand / to ask / to exact / large rope / isolated
to search / to demand / to ask / to exact / large rope / isolated"
胡,hu2,hú,"(surname) / beard / what why how, beard / mustache
beard / mustache / whiskers"
款,kuan3,kuǎn,"section / paragraph / funds
section / paragraph / funds / CL:筆|笔[bi3],個|个[ge4] / classifier for versions or models (of a product)"
靠,kao4,kào,"depend upon / lean on / near / by / against / to support
to lean against or on / to stand by the side of / to come near to / to depend on / to trust / to fuck (vulgar) / traditional military costume drama where the performers wear armor (old)"
评,ping2,píng,"to discuss / to comment / to criticize / to judge / to choose (by public appraisal)
to discuss / to comment / to criticize / to judge / to choose (by public appraisal)"
版,ban3,bǎn,"a register / a block of printing / an edition / version / page
a register / block of printing / edition / version / page"
宝,bao3,bǎo,"a jewel or gem / a treasure / precious
jewel / gem / treasure / precious"
座,zuo4,zuò,"seat / base / stand / measure word for large, solid things
seat / base / stand / CL:個|个[ge4] / classifier for buildings, mountains and similar immovable objects"
释,shi4,shì,"explain / to release
to explain / to release / Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2]) / Buddhism"
景,jing3,jǐng,"bright / circumstance / scenery
bright / circumstance / scenery"
顾,gu4,gù,"look after / take into consideration / to attend to
to look after / to take into consideration / to attend to"
弟,di4,dì,"younger brother
variant of 悌[ti4]"
登,deng1,dēng,"scale / climb / ascend / mount / go up / register / note / to publish / to issue / to record
to scale (a height) / to ascend / to mount / to publish or record / to enter (e.g. in a register) / to press down with the foot / to step or tread on / to put on (shoes or trousers) (dialect) / to be gathered and taken to the threshing ground (old)"
货,huo4,huò,"goods / money / commodity
goods / money / commodity / CL:個|个[ge4]"
互,hu4,hù,"mutual
mutual"
付,fu4,fù,"pay
to pay / to hand over to / classifier for pairs or sets of things"
伯,bo2,bó,"father's elder brother / senior / paternal elder uncle / eldest of brothers / respectful form of address
father's elder brother / senior / paternal elder uncle / eldest of brothers / respectful form of address / Count, third of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]"
慢,man4,màn,"slow
slow"
欧,ou1,ōu,"Europe
(used for transliteration) / old variant of 謳|讴[ou1]"
换,huan4,huàn,"change / exchange
to exchange / to change (clothes etc) / to substitute / to switch / to convert (currency)"
闻,wen2,wén,"(surname) / hear / sniff at
to hear / news / well-known / famous / reputation / fame / to smell / to sniff at"
危,wei1,wēi,"danger / to endanger
danger / to endanger / Taiwan pr. [wei2]"
忙,mang2,máng,"busy
busy / hurriedly / to hurry / to rush"
核,he2,hé,"nuclear / atomic / stone (of fruit)
variant of 核[he2] / to investigate"
暗,an4,àn,"dark / gloomy / hidden / secret, to shut the door / unilluminated
to close (a door) / to eclipse / muddled / stupid / ignorant / variant of 暗[an4]"
姐,jie3,jiě,"older sister
older sister"
介,jie4,jiè,"introduce / lie between / between
to introduce / to lie between / between / shell / armor"
坏,huai4,huài,"bad / spoiled, bad
bad / spoiled / broken / to break down / (suffix) to the utmost"
讨,tao3,tǎo,"ask for / send punitive expedition / to demand / to marry
to invite / to provoke / to demand or ask for / to send armed forces to suppress / to denounce or condemn / to marry (a woman) / to discuss or study"
丽,li2 / li4,lì,"Korea, beautiful
beautiful"
良,liang2,liáng,"good / very / very much
good / very / very much"
序,xu4,xù,"order / sequence / preface
order / sequence / preface"
升,sheng1,shēng,"to raise / to hoist / to promote / pint, ascend / peaceful, promoted
variant of 升[sheng1]"
监,jian1 / jian4,jiān,"hard / strong / solid / firm / to supervise / to inspect / jail / prison, supervisor
supervisor"
临,lin2,lín,"to face / to overlook / to arrive / to be (just) about to / just before
to face / to overlook / to arrive / to be (just) about to / just before"
亮,liang4,liàng,"light / bright
bright / clear / resonant / to shine / to show / to reveal"
露,lu4 / lou4,lù,"to show / to reveal / to expos / dew
dew / syrup / nectar / outdoors (not under cover) / to show / to reveal / to betray / to expose"
永,yong3,yǒng,"forever / always / perpetual (ly)
forever / always / perpetual"
呼,hu1,hū,"to call / to cry / to shout / to breath out / to exhale
variant of 呼[hu1] / to shout / to call out"
味,wei4,wèi,"taste
taste / smell / classifier for drugs (in TCM)"
野,ye3,yě,"field / plain / open space / limit / boundary / rude / wild
field / plain / open space / limit / boundary / rude / feral"
架,jia4,jià,"to support / frame / rack / framework / measure word for planes, large vehicles, radios, etc.
to support / frame / rack / framework / classifier for planes, large vehicles, radios etc"
域,yu4,yù,"field / region / area / domain (taxonomy)
field / region / area / domain (taxonomy)"
沙,sha1,shā,"granule / hoarse / raspy / sand / powder
granule / hoarse / raspy / sand / powder / CL:粒[li4] / abbr. for Tsar or Tsarist Russia"
掉,diao4,diào,"to drop / to fall
to fall / to drop / to lag behind / to lose / to go missing / to reduce / fall (in prices) / to lose (value, weight etc) / to wag / to swing / to turn / to change / to exchange / to swap / to show off / to shed (hair) / (used after certain verbs to express completion, fulfillment, removal etc)"
括,kuo4,kuò,"enclose / include
to enclose / to include / also pr. [gua1]"
舰,jian4,jiàn,"warship
warship"
鱼,yu2,yú,"fish
fish / CL:條|条[tiao2],尾[wei3]"
杂,za2,zá,"mixed / miscellaneous / various / to mix
mixed / miscellaneous / various / to mix"
误,wu4,wù,"mistake / error / to miss / to harm / to delay / to neglect
mistake / error / to miss / to harm / to delay / to neglect / mistakenly"
湾,wan1,wān,"bay / gulf
bay / gulf / to cast anchor / to moor (a boat)"
吉,ji2,jí,"lucky
lucky / giga- (meaning billion or 10^9)"
减,jian3,jiǎn,"to lower / to decrease / to reduce / to subtract / to diminish
to lower / to decrease / to reduce / to subtract / to diminish"
编,bian1,biān,"weave / plait / organize / group / arrange / edit / compile / write / compose / fabricate
to weave / to plait / to organize / to group / to arrange / to edit / to compile / to write / to compose / to fabricate"
楚,chu3,chǔ,"(surname) / ancient place name / distinct / clear / orderly / pain / suffering / (a surname)
distinct / clear / orderly / pain / suffering / deciduous bush used in Chinese medicine (genus Vitex) / punishment cane (old)"
肯,ken3,kěn,"to agree / to consent / to be ready (to do sth) / willing
to agree / to consent / to be ready (to do sth) / willing"
测,ce4,cè,"side / to lean / to survey / to measure / conjecture
to survey / to measure / to conjecture"
败,bai4,bài,"be defeated / to defeat / loss
to defeat / to damage / to lose (to an opponent) / to fail / to wither"
屋,wu1,wū,"house / room
house / room / CL:間|间[jian1],個|个[ge4]"
跑,pao3,pǎo,"to run / to escape
to run / to run away / to escape / to run around (on errands etc) / (of a gas or liquid) to leak or evaporate / (verb complement) away / off"
梦,meng4,mèng,"to dream
dream / CL:場|场[chang2],個|个[ge4]"
散,san3 / san4,sàn,"leisurely / loosen / powdered medicine / to scatter / to come loose, adjourn / scatter
to scatter / to break up (a meeting etc) / to disperse / to disseminate / to dispel / (coll.) to sack"
温,wen1,wēn,"(luke)warm / to review
warm / lukewarm / temperature / to warm up / mild / soft / tender / to review (a lesson etc) / fever (TCM) / old variant of 瘟[wen1]"
困,kun3 / kun4,kùn,"a bunch / tie together, distress / sleepy / doze off, sleepy / doze off
sleepy / tired"
剑,jian4,jiàn,"(double-edged) sword
variant of 劍|剑[jian4]"
渐,jian1 / jian4,jiàn,"imbue, gradual / gradually
gradual / gradually"
封,feng1,fēng,"to confer / to grant / to seal / (a measure word)
to confer / to grant / to bestow a title / to seal / classifier for sealed objects, esp. letters"
救,jiu4,jìu,"to save / to assist / to rescue
to save / to assist / to rescue"
贵,gui4,gùi,"expensive / noble / your (name) / precious
expensive / noble / precious / (honorific) your"
枪,qiang1,qiāng,"gun / firearm / rifle / spear, rifle / spear
variant of 槍|枪[qiang1] / rifle / spear"
缺,que1,quē,"lack / scarce / vacant post / to run short of
deficiency / lack / scarce / vacant post / to run short of"
楼,lou2,lóu,"house with more than 1 story / storied building / floor
house with more than 1 story / storied building / floor / CL:層|层[ceng2],座[zuo4],棟|栋[dong4]"
县,xian4,xiàn,"a district / county
county"
尚,shang4,shàng,"still / yet / to value / to esteem
still / yet / to value / to esteem"
毫,hao2,háo,"hair / drawing brush / (in the) least / one thousandth
hair / drawing brush / (in the) least / one thousandth / currency unit, 0.1 yuan"
移,yi2,yí,"to move / to shift / to change / to alter / to remove
to move / to shift / to change / to alter / to remove"
娘,niang2,niáng,"mother / young lady, mother / troubled
variant of 娘[niang2]"
朋,peng2,péng,"friend
friend"
画,hua4,huà,"draw / picture / painting
to draw / picture / painting / CL:幅[fu2],張|张[zhang1] / classifier for paintings etc / variant of 劃|划[hua4]"
班,ban1,bān,"team / class / rank / squad / a work shift / a measure word / (a surname)
team / class / squad / work shift / ranking / CL:個|个[ge4] / classifier for groups"
智,zhi4,zhì,"wisdom / knowledge
wisdom / knowledge"
亦,yi4,yì,"also
also"
耳,er3,ěr,"ear
ear / handle (archaeology) / and that is all (classical Chinese)"
恩,en1,ēn,"kind act (from above)
favor / grace / kindness"
短,duan3,duǎn,"lack / short
short / brief / to lack / weak point / fault"
掌,zhang3,zhǎng,"in charge of / palm of hand
palm of the hand / sole of the foot / paw / horseshoe / to slap / to hold in one's hand / to wield"
恐,kong3,kǒng,"afraid / frightened / to fear
afraid / frightened / to fear"
遗,yi2,yí,"to lose / to leave behind
to lose / to leave behind / to omit / to bequeath / sth lost / involuntary discharge (of urine etc)"
固,gu4,gù,"hard / strong / solid / sure
hard / strong / solid / sure / assuredly / undoubtedly / of course / indeed / admittedly"
席,xi2,xí,"banquet / woven mat / seat / place, woven mat
variant of 席[xi2] / woven mat"
松,song1,sōng,"loose / pine, loose
loose / to loosen / to relax"
秘,mi4,mì,"secret
secret / secretary"
谢,xie4,xiè,"(surname) / to thank
to thank / to apologize / to wither (of flowers, leaves etc) / to decline"
鲁,lu3,lǔ,"crass / place name
crass / stupid / rude"
遇,yu4,yù,"meet with
to meet / to encounter / to treat / to receive / opportunity / chance"
康,kang1,kāng,"peaceful / spongy (of radishes)
healthy / peaceful / abundant"
虑,lu:4 / lv4,lv̀,"anxiety
to think over / to consider / anxiety"
幸,xing4,xìng,"lucky, fortunate / lucky
fortunate / lucky"
均,jun1,jūn,"equal / even / all / uniform
equal / even / all / uniform"
销,xiao1,xiāo,"to melt / to do away with / to sell
to melt (metal) / to cancel or annul / to sell / to spend / to fasten with a bolt / bolt or pin"
钟,zhong1,zhōng,"clock / time as measured in hours and minutes / bell
clock / o'clock / time as measured in hours and minutes / bell / CL:架[jia4],座[zuo4]"
诗,shi1,shī,"poem / poetry / verse
poem / CL:首[shou3] / poetry / verse"
藏,cang2 / zang4,cáng,"to hide away / to conceal / to harbor / store / accumulate, storehouse / depository / Buddhist or Taoist scripture / Zang / Tibet
storehouse / depository / Buddhist or Taoist scripture"
赶,gan3,gǎn,"to catch up / to overtake / to hurry / to rush / to drive away
to overtake / to catch up with / to hurry / to rush / to try to catch (the bus etc) / to drive (cattle etc) forward / to drive (sb) away / to avail oneself of (an opportunity) / until"
剧,ju4,jù,"drama / play / show / severe
theatrical work (play, opera, TV series etc) / dramatic (change, increase etc) / acute / severe"
票,piao4,piào,"bank note / ticket
ticket / ballot / banknote / CL:張|张[zhang1] / person held for ransom / amateur performance of Chinese opera / classifier for groups, batches, business transactions"
损,sun3,sǔn,"to damage / injure / to lose / to harm
to decrease / to lose / to damage / to harm / (coll.) to speak sarcastically / to deride / caustic / mean / one of the 64 trigrams of the Book of Changes (old)"
忽,hu1,hū,"suddenly
to neglect / to overlook / to ignore / suddenly"
巨,ju4,jù,"very large / huge / tremendous / gigantic
very large / huge / tremendous / gigantic"
炮,pao4,pào,"cannon / gun / firecracker, gun / cannon
variant of 炮[pao4]"
旧,jiu4,jìu,"old (opposite of new) / former
old / opposite: new 新 / former / worn (with age)"
端,duan1,duān,"end / extremity / item / port / to hold sth. level with both hands / to carry / regular
old variant of 端[duan1] / start / origin"
探,tan4,tàn,"to explore / to search out / to scout / to visit
to explore / to search out / to scout / to visit / to stretch forward"
湖,hu2,hú,"lake
lake / CL:個|个[ge4],片[pian4]"
录,lu4,lù,"to record / to hit / to copy
diary / record / to hit / to copy"
叶,ye4,yè,"(surname) / leaf / page
leaf / page / lobe / (historical) period / classifier for small boats"
春,chun1,chūn,"spring (time) / gay / joyful / youthful / love / lust / life
spring (time) / gay / joyful / youthful / love / lust / life"
乡,xiang1,xiāng,"country / village
country or countryside / native place / home village or town / township (PRC administrative unit)"
附,fu4,fù,"to add / to attach / to be close to / to be attached
to add / to attach / to be close to / to be attached"
吸,xi1,xī,"to breathe / to suck in / to absorb / to inhale
to breathe / to suck in / to absorb / to inhale"
予,yu2 / yu3,yú,"I, to give
to give"
礼,li3,lǐ,"gift / propriety / rite
gift / rite / ceremony / CL:份[fen4] / propriety / etiquette / courtesy"
港,gang3,gǎng,"harbor / Hong Kong (abbr.)
harbor / port / CL:個|个[ge4]"
雨,yu3,yǔ,"rain
to rain / (of rain, snow etc) to fall / to precipitate / to wet"
呀,ya / ya1,yā,"(final part.)
(particle equivalent to 啊 after a vowel, expressing surprise or doubt)"
板,ban3,bǎn,"board / plank / plate / slab, boss
to catch sight of in a doorway (old)"
庭,ting2,tíng,"court / courtyard
main hall / front courtyard / law court"
妇,fu4,fù,"woman
old variant of 婦|妇[fu4]"
归,gui1,gūi,"to go back / to return
to return / to go back to / to give back to / (of a responsibility) to be taken care of by / to belong to / to gather together / (used between two identical verbs) despite / to marry (of a woman) (old) / division on the abacus with a one-digit divisor"
睛,jing1,jīng,"eye
eye / eyeball"
饭,fan4,fàn,"food / cuisine / cooked rice / meal
food / cuisine / cooked rice / meal / CL:碗[wan3],頓|顿[dun4]"
额,e2,é,"volume / amount / quantity / forehead / quota
forehead / horizontal tablet or inscribed board / specified number or amount"
含,han2,hán,"to keep / to contain
to keep / to contain / to suck (keep in your mouth without chewing)"
顺,shun4,shùn,"to obey / to follow / to arrange / to make reasonable / along / favorable
to obey / to follow / to arrange / to make reasonable / along / favorable"
输,shu1,shū,"to transport / to lose
to lose / to transport / to donate / to enter (a password)"
摇,yao2,yáo,"shake / to rock
to shake / to rock / to row / to crank"
