ID	lemma	PoS	freq	texts
7155	desistir	v	11622	9561
7165	partición	n	11600	3110
7175	reinado	n	11571	7412
7185	escalón	n	11554	8692
7195	quemadura	n	11520	6514
7205	fascismo	n	11485	6241
7215	fa	n	11458	5907
7225	anunciante	n	11440	6658
7235	análogo	j	11421	8375
7245	deducción	n	11399	6008
7255	comisario	n	11371	6821
7265	muñeco	n	11357	7092
7275	cocinero	n	11341	7015
7285	acortar	v	11317	9581
7295	polaco	j	11296	6757
7305	estrechar	v	11277	9681
7315	penitenciario	j	11253	5280
7325	tsunami	n	11227	5948
7335	desalojo	n	11215	6497
7345	sordo	j	11205	7787
7355	podrido	j	11173	8887
7365	pálido	j	11156	8547
7375	casita	n	11123	7693
7385	extremidad	n	11103	7012
7395	sereno	j	11070	9233
7405	caótico	j	11031	9351
7415	racha	n	11008	8274
7425	legislar	v	10990	8105
7435	saqueo	n	10962	7892
7445	llanta	n	10943	5420
7455	contaminante	j	10926	7601
7465	cartucho	n	10897	4060
7475	pabellón	n	10879	6765
7485	espuma	n	10855	7506
7495	hidroeléctrico	j	10835	5792
7505	feminismo	n	10819	4117
7515	armada	n	10791	6777
7525	tenor	n	10769	7789
7535	numeral	n	10743	3907
7545	alga	n	10716	5135
7555	viceministro	n	10679	7062
7565	cigarro	n	10653	6584
7575	diócesis	n	10638	5458
7585	coordinado	j	10614	9245
7595	completado	j	10572	9176
7605	robusto	j	10528	8771
7615	adquisitivo	j	10504	7634
7625	carismático	j	10476	8189
7635	facción	n	10441	7237
7645	nevera	n	10411	6634
7655	morada	n	10382	7173
7665	fabricado	j	10364	8835
7675	desastroso	j	10322	9047
7685	paladar	n	10297	7514
7695	discrepancia	n	10265	8246
7705	transcribir	v	10249	8423
7715	rivalidad	n	10234	7512
7725	ascendente	j	10216	7244
7735	mojado	j	10197	8110
7745	intimidar	v	10176	8516
7755	suscriptor	n	10147	6103
7765	cuadrado	n	10125	5664
7775	urbe	n	10094	8015
7785	compatibilidad	n	10075	6990
7795	compilar	v	10044	7024
7805	deprimir	v	10022	8179
7815	fábula	n	10003	6923
7825	leído	j	9979	8552
7835	arreglos	n	9951	7563
7845	abordaje	n	9929	6921
7855	anexo	n	9905	5674
7865	expropiación	n	9893	5748
7875	servidumbre	n	9882	5691
7885	omega	n	9864	4520
7895	sumido	j	9832	8700
7905	aduanero	j	9815	3640
7915	evangelización	n	9792	5109
7925	formulado	j	9768	8049
7935	esqueleto	n	9745	6600
7945	apoyado	j	9729	8821
7955	unánime	j	9711	8112
7965	pesquero	j	9687	5116
7975	césped	n	9675	6683
7985	apodo	n	9654	7457
7995	cómputo	n	9630	5994
8005	predisposición	n	9620	7840
8015	asfalto	n	9589	6676
8025	exponente	n	9570	7688
8035	pagano	j	9550	5463
8045	carnet	n	9529	5944
8055	obeso	j	9507	5340
